product_id,product_name,base_price,demand,stock
1,Laptop Dell Inspiron 15,55000,0.72,25
2,HP Pavilion Gaming Laptop,62000,0.81,18
3,Apple MacBook Air M1,85000,0.95,12
4,Samsung Galaxy S21,48000,0.88,30
5,iPhone 13,70000,0.92,20
6,OnePlus Nord CE 3,26000,0.78,40
7,Realme Narzo 60,18000,0.74,50
8,Sony WH-1000XM4 Headphones,22000,0.69,35
9,Boat Rockerz 450,1500,0.85,120
10,JBL Flip 5 Speaker,9000,0.66,45
11,Canon EOS 1500D Camera,42000,0.61,15
12,Nikon D5600 DSLR,50000,0.63,10
13,Samsung 24-inch Monitor,14000,0.70,28
14,LG Ultragear Gaming Monitor,28000,0.77,20
15,Logitech Wireless Mouse,1200,0.82,150
16,HP Mechanical Keyboard,3500,0.76,90
17,Apple Watch Series 7,42000,0.89,25
18,Noise Smartwatch ColorFit,3000,0.84,100
19,Mi Smart Band 6,2500,0.80,110
20,Dell Gaming Laptop G15,75000,0.83,14
21,Asus ROG Strix Laptop,95000,0.91,10
22,Lenovo IdeaPad Slim 3,40000,0.68,35
23,iPad 9th Gen,32000,0.79,22
24,Samsung Galaxy Tab S7,50000,0.73,18
25,Amazon Echo Dot 4th Gen,4500,0.87,60
26,Fire TV Stick 4K,6000,0.86,55
27,Sony Bravia 55-inch TV,65000,0.75,12
28,LG OLED TV 48-inch,90000,0.78,8
29,Philips Air Fryer,12000,0.71,30
30,Prestige Induction Cooktop,3000,0.65,80
31,Gaming Mouse Logitech G502,4500,0.83,80
32,Razer BlackWidow Keyboard,9500,0.79,60
33,Samsung SSD 1TB,8500,0.76,70
34,WD External Hard Drive 2TB,7000,0.72,65
35,Asus TUF Gaming Laptop,78000,0.88,15
36,HP OfficeJet Printer,12000,0.67,25
37,Canon Inkjet Printer,9000,0.64,30
38,Mi LED Smart TV 43-inch,30000,0.82,20
39,Sony Soundbar HT-S350,18000,0.74,22
40,JBL Live Pro Earbuds,12000,0.77,40
41,Boat Airdopes 441,2500,0.86,90
42,Noise Bluetooth Speaker,3500,0.81,75
43,Dell Ultrasharp Monitor,35000,0.73,18
44,LG Washing Machine Front Load,42000,0.69,12
45,Samsung Refrigerator Double Door,55000,0.71,10
46,Whirlpool Microwave Oven,15000,0.68,25
47,Philips Electric Kettle,2000,0.78,85
48,Prestige Mixer Grinder,6000,0.75,50
49,Havells Ceiling Fan,3000,0.80,100
50,Orient Table Fan,2500,0.77,95
51,Mi Power Bank 20000mAh,2000,0.84,110
52,Ambrane Power Bank 10000mAh,1200,0.82,130
53,SanDisk 128GB Pendrive,900,0.79,150
54,HP Laptop Backpack,1500,0.76,140
55,Wildcraft Travel Backpack,2500,0.74,120
56,American Tourister Suitcase,4500,0.72,60
57,Sony PlayStation 5 Console,55000,0.94,12
58,Xbox Series X Console,52000,0.91,15
59,Nintendo Switch OLED,30000,0.87,20
60,Asus Vivobook 15 Laptop,42000,0.75,30
61,HP Chromebook 14,25000,0.70,35
62,Lenovo Legion Gaming Laptop,85000,0.88,10
63,Acer Predator Helios 300,90000,0.89,8
64,MSI Gaming Laptop GF63,78000,0.86,12
65,Samsung Galaxy A54,35000,0.82,40
66,Vivo V27 Smartphone,32000,0.80,45
67,Oppo Reno 8,30000,0.78,50
68,Redmi Note 12 Pro,28000,0.83,55
69,Realme GT Neo 3,27000,0.79,50
70,Boat Stone 650 Speaker,3000,0.84,90
71,Sony XB43 Bluetooth Speaker,12000,0.77,40
72,JBL PartyBox 110,25000,0.72,20
73,Mi Soundbar,5000,0.81,60
74,Samsung Sound Tower MX-T50,20000,0.73,18
75,Canon Pixma Printer,8500,0.66,30
76,Epson EcoTank Printer,15000,0.68,25
77,Brother Laser Printer,18000,0.69,20
78,LG 32-inch Smart TV,28000,0.85,25
79,Samsung 50-inch Crystal TV,45000,0.83,18
80,Sony 65-inch LED TV,75000,0.80,10
81,OnePlus Smart TV Y1,30000,0.82,22
82,Apple iPad Pro,80000,0.92,10
83,Samsung Galaxy Tab A8,22000,0.74,28
84,Lenovo Tab M10,18000,0.72,30
85,Amazon Kindle Paperwhite,14000,0.78,35
86,Noise Air Buds Pro,2500,0.86,100
87,Boat Airdopes 171,2000,0.84,110
88,Realme Buds Air 3,3500,0.82,90
89,OnePlus Buds Z2,4500,0.80,85
90,Sony WF-1000XM4 Earbuds,18000,0.88,30
91,Dell Inspiron Desktop,50000,0.76,15
92,HP Pavilion Desktop,55000,0.78,12
93,Apple iMac 24-inch,120000,0.90,5
94,Asus Gaming Desktop,95000,0.87,8
95,Logitech Gaming Mouse G Pro,7000,0.83,60
96,Razer DeathAdder Mouse,4500,0.81,75
97,SteelSeries Apex Keyboard,12000,0.79,50
98,Corsair K95 RGB Keyboard,18000,0.77,40
99,TP-Link WiFi Router AX3000,6000,0.85,70
100,Netgear Nighthawk Router,15000,0.82,45
101,D-Link WiFi Extender,3000,0.80,80
102,Samsung Washing Machine Top Load,30000,0.73,20
103,Bosch Front Load Washing Machine,45000,0.75,15
104,LG Refrigerator Single Door,25000,0.71,25
105,Samsung Double Door Refrigerator,55000,0.74,18
106,Voltas Air Conditioner 1.5 Ton,35000,0.76,20
107,Daikin Split AC 1.5 Ton,45000,0.78,15